Country,Population,O+,A+,B+,AB+,O-,A-,B-,AB-,Continent,Rarest_Blood_Type,Diversity_Index
Slovakia,5440602.0,27.2,35.7,15.3,6.8,4.8,6.3,2.7,1.2,Europe,AB-,1.6624003054634584
Slovenia,2102678.0,31.0,33.0,12.0,6.0,7.0,7.0,3.0,1.0,Europe,AB-,1.6757065016577268
Somalia,12094640.0,52.8,19.36,12.32,3.52,7.2,2.64,1.68,0.48,Africa,AB-,1.4105392995977795
South Africa,56463617.0,39.0,32.0,12.0,3.0,6.0,5.0,2.0,1.0,Africa,AB-,1.5343580810804263
South Korea,51835110.0,29.0,32.0,31.0,8.0,0.19,0.1,0.1,0.01,Asia,AB-,1.3141208130153736
Sri Lanka,23044123.0,43.42,21.0,25.78,5.13,2.12,1.04,1.25,0.26,Asia,AB-,1.3912345773838937
Spain,50015792.0,35.0,36.0,8.0,2.5,9.0,7.0,2.0,0.5,Europe,AB-,1.5371078248888255
Sudan,45561556.0,48.0,27.7,15.2,2.3,3.5,1.8,0.8,0.2,Africa,AB-,1.3233436560423657
Sweden,10202491.0,32.0,37.0,10.0,5.0,6.0,7.0,2.0,1.0,Europe,AB-,1.591782442293952
Switzerland,8403994.0,35.0,38.0,8.0,4.0,6.9,7.0,1.0,0.1,Europe,AB-,1.4895224232500879
Syria,19398448.0,43.0,30.0,14.0,3.7,5.0,3.0,1.0,0.3,Asia,AB-,1.4398002353992498
Taiwan,23603049.0,43.9,25.9,23.9,6.0,0.28,0.01,0.01,0.01,Asia,A-,1.2413805896455576
Thailand,68977400.0,40.8,16.9,36.8,4.97,0.2,0.1,0.2,0.03,Asia,AB-,1.2174910257009326
Tunisia,11811335.0,41.86,28.21,16.38,4.55,4.14,2.79,1.62,0.45,Africa,AB-,1.4812581212671958
Turkey,82017514.0,29.4,38.3,13.2,6.4,4.4,5.5,2.1,0.7,Asia,AB-,1.583523044096189
Uganda,44712143.0,49.29,24.11,20.29,4.41,1.01,0.49,0.41,0.09,Africa,AB-,1.2540274865686531
Ukraine,43922939.0,32.0,34.0,15.0,5.0,5.0,6.0,2.0,1.0,Europe,AB-,1.6086522855490604
United Arab Emirates,9992083.0,44.1,21.9,20.9,4.3,4.3,2.1,2.0,0.4,Asia,AB-,1.4728739173622212
United Kingdom,66971395.0,35.0,30.0,8.0,2.0,13.0,5.0,2.0,1.0,Europe,AB-,1.5719236511882206
United States,334998398.0,37.4,35.7,8.5,3.4,9.8,4.1,1.5,0.6,North America,AB-,1.5073100311783878
Uzbekistan,30842796.0,29.42,30.93,24.98,9.27,1.68,1.77,1.42,0.53,Asia,AB-,1.5181138247215178
Venezuela,28644603.0,58.3,28.2,5.6,1.9,4.0,1.5,0.4,0.1,South America,AB-,1.1289992114243512
Vietnam,98721275.0,41.7,20.9,30.8,4.98,0.3,0.1,0.2,0.02,Asia,AB-,1.2449827853953341
Yemen,29884405.0,47.84,27.5,15.32,2.14,3.66,2.1,1.17,0.16,Asia,AB-,1.342334209430268
Zimbabwe,14546314.0,36.4,29.3,8.1,2.0,14.1,8.1,2.0,0.01,Africa,AB-,1.5682597112438528
World,7772850805.0,38.4,27.3,8.1,2.0,14.1,8.1,2.0,0.01,Unknown,AB-,1.5626823109664738
